# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 2.532866597175598145e-01 2.162216156721115112e-01 1.017463564872741699e+00
1.000000000000000000e+03 1.796571305021643639e-04 1.927593693835660815e-04 3.037925064563751221e-02
2.000000000000000000e+03 5.420757224783301353e-05 8.211456588469445705e-05 1.982801966369152069e-02
3.000000000000000000e+03 1.121085369959473610e-05 4.065714165335521102e-05 1.395204011350870132e-02
4.000000000000000000e+03 1.497975745223811828e-06 2.548446900618728250e-05 1.104605104774236679e-02
5.000000000000000000e+03 4.837112328459625132e-07 2.215122731286101043e-05 1.029836293309926987e-02
6.000000000000000000e+03 3.726506179191346746e-07 2.192123611166607589e-05 1.024475973099470139e-02
7.000000000000000000e+03 3.658529976746649481e-07 2.206664794357493520e-05 1.027868315577507019e-02
8.000000000000000000e+03 2.487170718268316705e-07 2.258465428894851357e-05 1.039862725883722305e-02
9.000000000000000000e+03 2.783915817872184562e-07 2.286624476255383343e-05 1.046325173228979111e-02
1.000000000000000000e+04 2.793315161397913471e-07 2.378427234361879528e-05 1.067122351378202438e-02
