0 [0.00e+00, 0.00e+00]
100 [-3.37e-02, -5.32e-02]
200 [9.96e-02, -2.71e-02]
300 [3.08e-01, -8.88e-03]
400 [5.02e-01, 2.12e-03]
500 [6.41e-01, 4.54e-03]
600 [7.40e-01, 6.02e-03]
700 [8.10e-01, 7.08e-03]
800 [8.58e-01, 7.69e-03]
900 [8.91e-01, 8.23e-03]
1000 [9.15e-01, 9.07e-03]
1100 [9.29e-01, 9.66e-03]
1200 [9.40e-01, 1.02e-02]
1300 [9.47e-01, 1.08e-02]
1400 [9.53e-01, 1.13e-02]
1500 [9.57e-01, 1.18e-02]
1600 [9.60e-01, 1.21e-02]
1700 [9.64e-01, 1.25e-02]
1800 [9.66e-01, 1.28e-02]
1900 [9.68e-01, 1.27e-02]
2000 [9.70e-01, 1.31e-02]
2100 [9.73e-01, 1.33e-02]
